FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,REPORT_PERIOD,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,PARENT_COMPANY_LEGAL_ID,CURRENT_DATE
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","88.87","1.01","","0.27","0.27","6.68","10.72","2.18","2.06","1.87","0.36","0.24","89.90","1.37","7.46","11.20","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","88.05","1.01","","0.15","0.42","7.18","10.48","2.34","2.01","1.87","0.24","0.18","90","1.62","7.41","11.18","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","87.89","1.01","","0.66","1.08","6.86","10.81","2.24","2.07","1.91","0.36","0.21","89.60","1.70","7.90","11.80","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","86.32","1.01","","-0.36","0.72","6.10","10.07","1.99","1.94","1.91","0.24","0.06","89.50","1.64","7.76","11.36","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","85.50","1.01","","0.12","0.84","5.68","10.24","1.86","1.97","1.91","0.24","0.02","89.40","1.69","7.84","11.41","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","85.43","1.01","","0.25","1.09","5.68","10.10","1.86","1.94","1.91","0.24","-0.03","89.40","1.72","7.97","11.58","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","85.04","1.01","","0.67","1.77","6.15","10.72","2.01","2.06","1.91","0.36","0.03","89.40","1.76","8","11.21","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","84.41","1.01","","0.57","2.35","5.27","11.18","1.73","2.14","1.94","","0.02","89.30","1.77","7.94","11.12","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","84.46","1.01","","0.65","3.01","5.64","11.66","1.85","2.23","1.94","0.36","0.10","89.30","1.82","8.08","11.33","513910703","12/29/2024 12:00:00 AM"
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","83.82","1.01","","0.03","3.05","5.44","11.25","1.78","2.16","1.94","0.24","0.02","89.20","1.84","8.07","10.94","513910703","12/29/2024 12:00:00 AM"
